"person","timePeriod","office","dbin","dbout"
"http://dbpedia.org/resource/Rodrigo_Pinto_Pizarro_Pimentel_de_Almeida_Carvalhais","http://dbpedia.org/resource/Rodrigo_Pinto_Pizarro_Pimentel_de_Almeida_Carvalhais__1","Prime Minister of Portugal","-1","-1"
"http://dbpedia.org/resource/Henri_de_Brouckère","http://dbpedia.org/resource/Henri_de_Brouckère__1","Prime Minister of Belgium","26","58"
"http://dbpedia.org/resource/Vincenzo_Gioberti","http://dbpedia.org/resource/Vincenzo_Gioberti__1","Prime Minister of Sardinia","45","49"
"http://dbpedia.org/resource/Gaspard-Théodore-Ignace_de_la_Fontaine","http://dbpedia.org/resource/Gaspard-Théodore-Ignace_de_la_Fontaine__1","Prime Minister of Luxembourg","24","66"
"http://dbpedia.org/resource/Jean-Jacques_Willmar","http://dbpedia.org/resource/Jean-Jacques_Willmar__1","Prime Minister of Luxembourg","21","57"
"http://dbpedia.org/resource/Ettore_Perrone_di_San_Martino","http://dbpedia.org/resource/Ettore_Perrone_di_San_Martino__1","Prime Minister of Sardinia","18","50"
"http://dbpedia.org/resource/Pierre_de_Decker","http://dbpedia.org/resource/Pierre_de_Decker__1","Prime Minister of Belgium","18","64"
"http://dbpedia.org/resource/Charles-Mathias_Simons","http://dbpedia.org/resource/Charles-Mathias_Simons__1","Prime Minister of Luxembourg","33","66"
"http://dbpedia.org/resource/António_José_de_Ávila","_1st_Duke_of_Ávila_and_Bolama","http://dbpedia.org/resource/António_José_de_Ávila","_1st_Duke_of_Ávila_and_Bolama__1","Prime Minister of Portugal","36","112"
"http://dbpedia.org/resource/Chlodwig","_Prince_of_Hohenlohe-Schillingsfürst","http://dbpedia.org/resource/Chlodwig","_Prince_of_Hohenlohe-Schillingsfürst__3","Prime Minister of Bavaria","123","184"
"http://dbpedia.org/resource/Bettino_Ricasoli","http://dbpedia.org/resource/Bettino_Ricasoli__1","Prime Minister of Italy","64","71"
"http://dbpedia.org/resource/Ștefan_Golescu","http://dbpedia.org/resource/Ștefan_Golescu__3","Prime Minister of Romania","28","71"
"http://dbpedia.org/resource/Frederick_Weld","http://dbpedia.org/resource/Frederick_Weld__1","Prime Minister of New Zealand","125","187"
"http://dbpedia.org/resource/Victor_de_Tornaco","http://dbpedia.org/resource/Victor_de_Tornaco__1","Prime Minister of Luxembourg","25","65"
"http://dbpedia.org/resource/António_José_de_Ávila","_1st_Duke_of_Ávila_and_Bolama","http://dbpedia.org/resource/António_José_de_Ávila","_1st_Duke_of_Ávila_and_Bolama__2","Prime Minister of Portugal","36","112"
"http://dbpedia.org/resource/Barthélémy_de_Theux_de_Meylandt","http://dbpedia.org/resource/Barthélémy_de_Theux_de_Meylandt__1","Prime Minister of Belgium","42","69"
"http://dbpedia.org/resource/Charilaos_Trikoupis","http://dbpedia.org/resource/Charilaos_Trikoupis__1","Prime Minister of Greece","116","129"
"http://dbpedia.org/resource/Jules_d'Anethan","http://dbpedia.org/resource/Jules_d'Anethan__1","Prime Minister of Belgium","24","60"
"http://dbpedia.org/resource/Emmanuel_Servais","http://dbpedia.org/resource/Emmanuel_Servais__1","Prime Minister of Luxembourg","37","129"
"http://dbpedia.org/resource/Johan_Rudolph_Thorbecke","http://dbpedia.org/resource/Johan_Rudolph_Thorbecke__1","Prime Minister of the Netherlands","73","116"
"http://dbpedia.org/resource/John_Charles_Molteno","http://dbpedia.org/resource/John_Charles_Molteno__1","Prime Minister of the Cape Colony","128","147"
"http://dbpedia.org/resource/António_José_de_Ávila","_1st_Duke_of_Ávila_and_Bolama","http://dbpedia.org/resource/António_José_de_Ávila","_1st_Duke_of_Ávila_and_Bolama__3","Prime Minister of Portugal","36","112"
"http://dbpedia.org/resource/Muhammad_Sharif_Pasha","http://dbpedia.org/resource/Muhammad_Sharif_Pasha__1","Prime Minister of Egypt","35","85"
"http://dbpedia.org/resource/Muhammad_Sharif_Pasha","http://dbpedia.org/resource/Muhammad_Sharif_Pasha__2","Prime Minister of Egypt(second term)","35","85"
"http://dbpedia.org/resource/Charles_de_Freycinet","http://dbpedia.org/resource/Charles_de_Freycinet__1","Prime Minister of France","97","124"
"http://dbpedia.org/resource/Alexander_Mackenzie","http://dbpedia.org/resource/Alexander_Mackenzie__1","Prime Minister of Canada","301","155"
"http://dbpedia.org/resource/Walthère_Frère-Orban","http://dbpedia.org/resource/Walthère_Frère-Orban__1","Prime Minister of Belgium","56","60"
"http://dbpedia.org/resource/Thomas_Charles_Scanlen","http://dbpedia.org/resource/Thomas_Charles_Scanlen__1","Prime Minister of the Cape Colony","27","81"
"http://dbpedia.org/resource/Thomas_Upington","http://dbpedia.org/resource/Thomas_Upington__1","Prime Minister of the Cape Colony","19","120"
"http://dbpedia.org/resource/Muhammad_Sharif_Pasha","http://dbpedia.org/resource/Muhammad_Sharif_Pasha__3","Prime Minister of Egypt(third term)","35","85"
"http://dbpedia.org/resource/Jules_Malou","http://dbpedia.org/resource/Jules_Malou__1","Prime Minister of Belgium","34","66"
"http://dbpedia.org/resource/Félix_de_Blochausen","http://dbpedia.org/resource/Félix_de_Blochausen__1","Prime Minister of Luxembourg","34","41"
"http://dbpedia.org/resource/Walter_M._Gibson","http://dbpedia.org/resource/Walter_M._Gibson__1","Prime Minister of Hawaii","53","114"
"http://dbpedia.org/resource/Armand_Fallières","http://dbpedia.org/resource/Armand_Fallières__2","Prime Minister of France","105","112"
"http://dbpedia.org/resource/Dimitrios_Valvis","http://dbpedia.org/resource/Dimitrios_Valvis__1","Prime Minister of Greece","13","38"
"http://dbpedia.org/resource/Auguste_Beernaert","http://dbpedia.org/resource/Auguste_Beernaert__1","Prime Minister of Belgium","-1","-1"
"http://dbpedia.org/resource/Émile_Loubet","http://dbpedia.org/resource/Émile_Loubet__2","Prime Minister of France","113","118"
"http://dbpedia.org/resource/Jean_Casimir-Perier","http://dbpedia.org/resource/Jean_Casimir-Perier__2","Prime Minister of France","83","83"
"http://dbpedia.org/resource/Leo_von_Caprivi","http://dbpedia.org/resource/Leo_von_Caprivi__2","Prime Minister of Prussia","116","133"
"http://dbpedia.org/resource/John_Abbott","http://dbpedia.org/resource/John_Abbott__1","Prime Minister of Canada","208","182"
"http://dbpedia.org/resource/Édouard_Thilges","http://dbpedia.org/resource/Édouard_Thilges__1","Prime Minister of Luxembourg","24","58"
"http://dbpedia.org/resource/John_A._Macdonald","http://dbpedia.org/resource/John_A._Macdonald__1","Prime Minister of Canada","959","356"
"http://dbpedia.org/resource/Cecil_Rhodes","http://dbpedia.org/resource/Cecil_Rhodes__1","Prime Minister of the Cape Colony","492","330"
"http://dbpedia.org/resource/Nubar_Pasha","http://dbpedia.org/resource/Nubar_Pasha__1","Prime Minister of Egypt","33","108"
"http://dbpedia.org/resource/Pedro_Paterno","http://dbpedia.org/resource/Pedro_Paterno__1","Prime Minister of the Philippines","70","91"
"http://dbpedia.org/resource/William_Philip_Schreiner","http://dbpedia.org/resource/William_Philip_Schreiner__1","Prime Minister of the Cape Colony","34","103"
"http://dbpedia.org/resource/Jules_Vandenpeereboom","http://dbpedia.org/resource/Jules_Vandenpeereboom__1","Prime Minister of Belgium","15","53"
"http://dbpedia.org/resource/Jules_de_Burlet","http://dbpedia.org/resource/Jules_de_Burlet__1","Prime Minister of Belgium","15","47"
"http://dbpedia.org/resource/Mackenzie_Bowell","http://dbpedia.org/resource/Mackenzie_Bowell__1","Prime Minister of Canada","176","151"
"http://dbpedia.org/resource/Charles_Tupper","http://dbpedia.org/resource/Charles_Tupper__1","Prime Minister of Canada","229","445"
"http://dbpedia.org/resource/John_Sparrow_David_Thompson","http://dbpedia.org/resource/John_Sparrow_David_Thompson__1","Prime Minister of Canada","192","194"
"http://dbpedia.org/resource/Gordon_Sprigg","http://dbpedia.org/resource/Gordon_Sprigg__1","Prime Minister of the Cape Colony","57","147"
"http://dbpedia.org/resource/Chlodwig","_Prince_of_Hohenlohe-Schillingsfürst","http://dbpedia.org/resource/Chlodwig","_Prince_of_Hohenlohe-Schillingsfürst__2","Prime Minister of Prussia","123","184"
"http://dbpedia.org/resource/Bir_Shumsher_Jang_Bahadur_Rana","http://dbpedia.org/resource/Bir_Shumsher_Jang_Bahadur_Rana__1","Prime Minister of Nepal","-1","-1"
"http://dbpedia.org/resource/Itō_Hirobumi","http://dbpedia.org/resource/Itō_Hirobumi__1","Prime Minister of Japan","360","251"
"http://dbpedia.org/resource/Robert_Bond","http://dbpedia.org/resource/Robert_Bond__1","Prime Minister of the Dominion of Newfoundland","42","80"
"http://dbpedia.org/resource/Augusto_B._Leguía","http://dbpedia.org/resource/Augusto_B._Leguía__3","Prime Minister of Peru","97","79"
"http://dbpedia.org/resource/Leander_Starr_Jameson","http://dbpedia.org/resource/Leander_Starr_Jameson__1","Prime Minister of the Cape Colony","132","189"
"http://dbpedia.org/resource/Mirza_Nasrullah_Khan","http://dbpedia.org/resource/Mirza_Nasrullah_Khan__1","Prime Minister of Persia","22","65"
"http://dbpedia.org/resource/John_X._Merriman","http://dbpedia.org/resource/John_X._Merriman__1","Prime Minister of the Cape Colony","57","126"
"http://dbpedia.org/resource/José_Pardo_y_Barreda","http://dbpedia.org/resource/José_Pardo_y_Barreda__3","Prime Minister of Peru","39","52"
"http://dbpedia.org/resource/Jules_de_Trooz","http://dbpedia.org/resource/Jules_de_Trooz__1","Prime Minister of Belgium","18","48"
"http://dbpedia.org/resource/Paul_de_Smet_de_Naeyer","http://dbpedia.org/resource/Paul_de_Smet_de_Naeyer__1","Prime Minister of Belgium","29","58"
"http://dbpedia.org/resource/António_Teixeira_de_Sousa","http://dbpedia.org/resource/António_Teixeira_de_Sousa__4","Prime Minister of Portugal","32","74"
"http://dbpedia.org/resource/Frans_Schollaert","http://dbpedia.org/resource/Frans_Schollaert__1","Prime Minister of Belgium","31","56"
"http://dbpedia.org/resource/Wilfrid_Laurier","http://dbpedia.org/resource/Wilfrid_Laurier__1","Prime Minister of Canada","759","331"
"http://dbpedia.org/resource/John_Chalker_Crosbie","http://dbpedia.org/resource/John_Chalker_Crosbie__1","Prime Minister of Newfoundland","15","56"
"http://dbpedia.org/resource/Noe_Ramishvili","http://dbpedia.org/resource/Noe_Ramishvili__1","Prime Minister of Georgia","18","46"
"http://dbpedia.org/resource/Essad_Pasha_Toptani","http://dbpedia.org/resource/Essad_Pasha_Toptani__1","Prime Minister of Albania","55","117"
"http://dbpedia.org/resource/Edward_Morris","_1st_Baron_Morris","http://dbpedia.org/resource/Edward_Morris","_1st_Baron_Morris__1","Prime Minister of Newfoundland","57","75"
"http://dbpedia.org/resource/H._H._Asquith","http://dbpedia.org/resource/H._H._Asquith__1","Prime Minister of the United Kingdom","972","390"
"http://dbpedia.org/resource/Jan_Kanty_Steczkowski","http://dbpedia.org/resource/Jan_Kanty_Steczkowski__1","Prime Minister of Poland","11","17"
"http://dbpedia.org/resource/Gérard_Cooreman","http://dbpedia.org/resource/Gérard_Cooreman__1","Prime Minister of Belgium","24","56"
"http://dbpedia.org/resource/Władysław_Wróblewski","http://dbpedia.org/resource/Władysław_Wróblewski__1","Prime Minister of Poland(provisional)","25","38"
"http://dbpedia.org/resource/Nikola_Pašić","http://dbpedia.org/resource/Nikola_Pašić__4","Prime Minister of Serbia","154","236"
"http://dbpedia.org/resource/Paul_Eyschen","http://dbpedia.org/resource/Paul_Eyschen__1","Prime Minister of Luxembourg","54","98"
"http://dbpedia.org/resource/Hubert_Loutsch","http://dbpedia.org/resource/Hubert_Loutsch__1","Prime Minister of Luxembourg","19","47"
"http://dbpedia.org/resource/Léon_Kauffman","http://dbpedia.org/resource/Léon_Kauffman__1","Prime Minister of Luxembourg","31","68"
"http://dbpedia.org/resource/Mathias_Mongenast","http://dbpedia.org/resource/Mathias_Mongenast__1","Prime Minister of Luxembourg","21","60"
"http://dbpedia.org/resource/Victor_Thorn","http://dbpedia.org/resource/Victor_Thorn__1","Prime Minister of Luxembourg","31","67"
"http://dbpedia.org/resource/Juho_Vennola","http://dbpedia.org/resource/Juho_Vennola__1","Prime Minister of Finland","47","43"
"http://dbpedia.org/resource/Kaarlo_Castrén","http://dbpedia.org/resource/Kaarlo_Castrén__1","Prime Minister of Finland","21","42"
"http://dbpedia.org/resource/Rafael_Erich","http://dbpedia.org/resource/Rafael_Erich__1","Prime Minister of Finland","18","41"
"http://dbpedia.org/resource/Louis_Botha","http://dbpedia.org/resource/Louis_Botha__1","Prime Minister of South Africa","220","152"
"http://dbpedia.org/resource/Noe_Zhordania","http://dbpedia.org/resource/Noe_Zhordania__1","Prime Minister of Georgia","58","124"
"http://dbpedia.org/resource/Bernardino_Machado","http://dbpedia.org/resource/Bernardino_Machado__3","Prime Minister of Portugal","111","141"
"http://dbpedia.org/resource/Ignacy_Jan_Paderewski","http://dbpedia.org/resource/Ignacy_Jan_Paderewski__1","Prime Minister of Poland","349","164"
"http://dbpedia.org/resource/Kārlis_Ulmanis","http://dbpedia.org/resource/Kārlis_Ulmanis__1","Prime Minister of Latvia","140","165"
"http://dbpedia.org/resource/Michael_Patrick_Cashin","http://dbpedia.org/resource/Michael_Patrick_Cashin__1","Prime Minister of Newfoundland","29","43"
"http://dbpedia.org/resource/Muhammad_Tawfiq_Nasim_Pasha","http://dbpedia.org/resource/Muhammad_Tawfiq_Nasim_Pasha__1","Prime Minister of Egypt","46","43"
"http://dbpedia.org/resource/Pál_Teleki","http://dbpedia.org/resource/Pál_Teleki__1","Prime Minister of the Kingdom of Hungary","112","152"
"http://dbpedia.org/resource/William_F._Lloyd","http://dbpedia.org/resource/William_F._Lloyd__1","Prime Minister of Newfoundland","20","39"
"http://dbpedia.org/resource/Stojan_Protić","http://dbpedia.org/resource/Stojan_Protić__1","Prime Minister of Yugoslavia","25","54"
"http://dbpedia.org/resource/Mihály_Károlyi","http://dbpedia.org/resource/Mihály_Károlyi__1","Prime Minister of Hungary","143","139"
"http://dbpedia.org/resource/Simon_Vratsian","http://dbpedia.org/resource/Simon_Vratsian__1","Prime Minister of Armenia","28","71"
"http://dbpedia.org/resource/Hamo_Ohanjanyan","http://dbpedia.org/resource/Hamo_Ohanjanyan__1","Prime Minister of Armenia","24","42"
"http://dbpedia.org/resource/Léon_Delacroix","http://dbpedia.org/resource/Léon_Delacroix__1","Prime Minister of Belgium","23","47"
"http://dbpedia.org/resource/Robert_Borden","http://dbpedia.org/resource/Robert_Borden__1","Prime Minister of Canada","559","273"
"http://dbpedia.org/resource/Alexander_Khatisian","http://dbpedia.org/resource/Alexander_Khatisian__3","Prime Minister of Armenia","45","57"
"http://dbpedia.org/resource/Abd_Al-Rahman_Al-Gillani","http://dbpedia.org/resource/Abd_Al-Rahman_Al-Gillani__1","Prime Minister of Iraq","33","47"
"http://dbpedia.org/resource/Aimo_Cajander","http://dbpedia.org/resource/Aimo_Cajander__1","Prime Minister of Finland","48","54"
"http://dbpedia.org/resource/Albert_Hickman","http://dbpedia.org/resource/Albert_Hickman__1","Prime Minister of Newfoundland","21","38"
"http://dbpedia.org/resource/Saad_Zaghloul","http://dbpedia.org/resource/Saad_Zaghloul__1","Prime Minister of Egypt","115","87"
"http://dbpedia.org/resource/William_Warren","http://dbpedia.org/resource/William_Warren__1","Prime Minister of Newfoundland","38","48"
"http://dbpedia.org/resource/Fevzi_Çakmak","http://dbpedia.org/resource/Fevzi_Çakmak__1","Prime Minister of Turkey","124","235"
"http://dbpedia.org/resource/Rauf_Orbay","http://dbpedia.org/resource/Rauf_Orbay__1","Prime Minister of Turkey","60","71"
"http://dbpedia.org/resource/Sigurður_Eggerz","http://dbpedia.org/resource/Sigurður_Eggerz__1","Prime Minister of Iceland","30","42"
"http://dbpedia.org/resource/Abdel_Khaliq_Sarwat_Pasha","http://dbpedia.org/resource/Abdel_Khaliq_Sarwat_Pasha__2","Prime Minister of Egypt","29","31"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/resource/Henri_Carton_de_Wiart__1","Prime Minister of Belgium","17","47"
"http://dbpedia.org/resource/Zigfrīds_Anna_Meierovics","http://dbpedia.org/resource/Zigfrīds_Anna_Meierovics__1","Prime Minister of Latvia","33","88"
"http://dbpedia.org/resource/Rashid_Tali’a","http://dbpedia.org/resource/Rashid_Tali’a__1","Prime Minister of Jordan","4","24"
"http://dbpedia.org/resource/Rashid_Tali’a","http://dbpedia.org/resource/Rashid_Tali’a__2","Prime Minister of Jordan","4","24"
"http://dbpedia.org/resource/Antti_Tulenheimo","http://dbpedia.org/resource/Antti_Tulenheimo__1","Prime Minister of Finland","24","44"
"http://dbpedia.org/resource/Marģers_Skujenieks","http://dbpedia.org/resource/Marģers_Skujenieks__1","Prime Minister of Latvia","29","29"
"http://dbpedia.org/resource/Pēteris_Juraševskis","http://dbpedia.org/resource/Pēteris_Juraševskis__1","Prime Minister of Latvia","16","17"
"http://dbpedia.org/resource/Oskari_Mantere","http://dbpedia.org/resource/Oskari_Mantere__1","Prime Minister of Finland","21","34"
"http://dbpedia.org/resource/Lauri_Ingman","http://dbpedia.org/resource/Lauri_Ingman__2","Prime Minister of Finland","53","87"
"http://dbpedia.org/resource/Raymond_Poincaré","http://dbpedia.org/resource/Raymond_Poincaré__2","Prime Minister of France","295","195"
"http://dbpedia.org/resource/Väinö_Tanner","http://dbpedia.org/resource/Väinö_Tanner__1","Prime Minister of Finland","80","70"
"http://dbpedia.org/resource/Yasin_al-Hashimi","http://dbpedia.org/resource/Yasin_al-Hashimi__2","Prime Minister of Iraq","47","53"
"http://dbpedia.org/resource/Alexandros_Zaimis","http://dbpedia.org/resource/Alexandros_Zaimis__1","Prime Minister of Greece","102","131"
"http://dbpedia.org/resource/Walter_Stanley_Monroe","http://dbpedia.org/resource/Walter_Stanley_Monroe__1","Prime Minister of Newfoundland","27","42"
"http://dbpedia.org/resource/Ivar_Lykke_(politician)","http://dbpedia.org/resource/Ivar_Lykke_(politician)__1","Prime Minister of Norway","31","20"
"http://dbpedia.org/resource/Jón_Magnússon_(politician)","http://dbpedia.org/resource/Jón_Magnússon_(politician)__1","Prime Minister of Iceland","35","38"
"http://dbpedia.org/resource/Jón_Þorláksson","http://dbpedia.org/resource/Jón_Þorláksson__1","Prime Minister of Iceland","28","50"
"http://dbpedia.org/resource/Magnús_Guðmundsson_(politician)","http://dbpedia.org/resource/Magnús_Guðmundsson_(politician)__1","Prime Minister of Iceland","22","35"
"http://dbpedia.org/resource/Theodoros_Pangalos_(general)","http://dbpedia.org/resource/Theodoros_Pangalos_(general)__1","Prime Minister of Greece","65","120"
"http://dbpedia.org/resource/Aloys_Van_de_Vyvere","http://dbpedia.org/resource/Aloys_Van_de_Vyvere__1","Prime Minister of Belgium","21","50"
"http://dbpedia.org/resource/Prosper_Poullet","http://dbpedia.org/resource/Prosper_Poullet__1","Prime Minister of Belgium","20","58"
"http://dbpedia.org/resource/Arthur_Meighen","http://dbpedia.org/resource/Arthur_Meighen__1","Prime Minister of Canada","293","238"
"http://dbpedia.org/resource/Abdel_Khaliq_Sarwat_Pasha","http://dbpedia.org/resource/Abdel_Khaliq_Sarwat_Pasha__1","Prime Minister of Egypt","29","31"
"http://dbpedia.org/resource/Johan_Ludwig_Mowinckel","http://dbpedia.org/resource/Johan_Ludwig_Mowinckel__1","Prime Minister of Norway","79","69"
"http://dbpedia.org/resource/Nikola_Pašić","http://dbpedia.org/resource/Nikola_Pašić__1","Prime Minister of Yugoslavia","154","236"
"http://dbpedia.org/resource/Pierre_Prüm","http://dbpedia.org/resource/Pierre_Prüm__1","Prime Minister of Luxembourg","27","98"
"http://dbpedia.org/resource/Émile_Reuter","http://dbpedia.org/resource/Émile_Reuter__1","Prime Minister of Luxembourg","53","77"
"http://dbpedia.org/resource/António_Maria_da_Silva","http://dbpedia.org/resource/António_Maria_da_Silva__1","Prime Minister of Portugal","81","119"
"http://dbpedia.org/resource/Fethi_Okyar","http://dbpedia.org/resource/Fethi_Okyar__1","Prime Minister of Turkey","67","76"
"http://dbpedia.org/resource/Juho_Sunila","http://dbpedia.org/resource/Juho_Sunila__1","Prime Minister of Finland","41","68"
"http://dbpedia.org/resource/Miguel_Primo_de_Rivera","http://dbpedia.org/resource/Miguel_Primo_de_Rivera__1","Prime Minister of Spain","255","157"
"http://dbpedia.org/resource/Naji_Shawkat","http://dbpedia.org/resource/Naji_Shawkat__1","Prime Minister of Iraq","21","34"
"http://dbpedia.org/resource/Osachi_Hamaguchi","http://dbpedia.org/resource/Osachi_Hamaguchi__1","Prime Minister of Japan","76","110"
"http://dbpedia.org/resource/Naji_al-Suwaydi","http://dbpedia.org/resource/Naji_al-Suwaydi__1","Prime Minister of Iraq","-1","-1"
"http://dbpedia.org/resource/Henri_Jaspar","http://dbpedia.org/resource/Henri_Jaspar__1","Prime Minister of Belgium","24","47"
"http://dbpedia.org/resource/Jules_Renkin","http://dbpedia.org/resource/Jules_Renkin__1","Prime Minister of Belgium","14","39"
"http://dbpedia.org/resource/Kazimierz_Świtalski","http://dbpedia.org/resource/Kazimierz_Świtalski__1","Prime Minister of Poland","27","92"
"http://dbpedia.org/resource/Johan_Ludwig_Mowinckel","http://dbpedia.org/resource/Johan_Ludwig_Mowinckel__2","Prime Minister of Norway","79","69"
"http://dbpedia.org/resource/Peder_Kolstad","http://dbpedia.org/resource/Peder_Kolstad__1","Prime Minister of Norway","29","42"
"http://dbpedia.org/resource/Georges_Theunis","http://dbpedia.org/resource/Georges_Theunis__1","Prime Minister of Belgium","35","74"
"http://dbpedia.org/resource/Ādolfs_Bļodnieks","http://dbpedia.org/resource/Ādolfs_Bļodnieks__1","Prime Minister of Latvia","16","17"
"http://dbpedia.org/resource/Gaston_Doumergue","http://dbpedia.org/resource/Gaston_Doumergue__2","Prime Minister of France","152","185"
"http://dbpedia.org/resource/Manuel_Azaña","http://dbpedia.org/resource/Manuel_Azaña__2","Prime Minister of Spain","157","153"
"http://dbpedia.org/resource/Manuel_Azaña","http://dbpedia.org/resource/Manuel_Azaña__3","Prime Minister of Spain","157","153"
"http://dbpedia.org/resource/Yasin_al-Hashimi","http://dbpedia.org/resource/Yasin_al-Hashimi__1","Prime Minister of Iraq","47","53"
"http://dbpedia.org/resource/Ásgeir_Ásgeirsson","http://dbpedia.org/resource/Ásgeir_Ásgeirsson__2","Prime Minister of Iceland","78","65"
"http://dbpedia.org/resource/Alejandro_Lerroux","http://dbpedia.org/resource/Alejandro_Lerroux__1","Prime Minister of Spain","77","46"
"http://dbpedia.org/resource/Alejandro_Lerroux","http://dbpedia.org/resource/Alejandro_Lerroux__2","Prime Minister of Spain","77","46"
"http://dbpedia.org/resource/Alejandro_Lerroux","http://dbpedia.org/resource/Alejandro_Lerroux__3","Prime Minister of Spain","77","46"
"http://dbpedia.org/resource/Fidel_Dávila_Arrondo","http://dbpedia.org/resource/Fidel_Dávila_Arrondo__1","Prime Minister of Francoist Spain","34","37"
"http://dbpedia.org/resource/George_Mitchell_(Rhodesia)","http://dbpedia.org/resource/George_Mitchell_(Rhodesia)__1","Prime Minister of Southern Rhodesia","21","38"
"http://dbpedia.org/resource/Charles_de_Broqueville","http://dbpedia.org/resource/Charles_de_Broqueville__1","Prime Minister of Belgium","60","107"
"http://dbpedia.org/resource/Toivo_Mikael_Kivimäki","http://dbpedia.org/resource/Toivo_Mikael_Kivimäki__1","Prime Minister of Finland","52","80"
"http://dbpedia.org/resource/Johan_Ludwig_Mowinckel","http://dbpedia.org/resource/Johan_Ludwig_Mowinckel__3","Prime Minister of Norway","79","69"
"http://dbpedia.org/resource/Santiago_Casares_Quiroga","http://dbpedia.org/resource/Santiago_Casares_Quiroga__1","Prime Minister of Spain","33","42"
"http://dbpedia.org/resource/Alberto_Rey_de_Castro_y_Romaña","http://dbpedia.org/resource/Alberto_Rey_de_Castro_y_Romaña__1","Prime Minister of Peru","-1","-1"
"http://dbpedia.org/resource/Abd_Allah_Siraj","http://dbpedia.org/resource/Abd_Allah_Siraj__1","Prime Minister of Transjordan","-1","-1"
"http://dbpedia.org/resource/Paul-Émile_Janson","http://dbpedia.org/resource/Paul-Émile_Janson__1","Prime Minister of Belgium","29","71"
"http://dbpedia.org/resource/Paul_van_Zeeland","http://dbpedia.org/resource/Paul_van_Zeeland__1","Prime Minister of Belgium","38","55"
"http://dbpedia.org/resource/Taha_al-Hashimi","http://dbpedia.org/resource/Taha_al-Hashimi__2","Prime Minister of Iraq","21","33"
"http://dbpedia.org/resource/Antanas_Merkys","http://dbpedia.org/resource/Antanas_Merkys__2","Prime Minister of Lithuania","27","45"
"http://dbpedia.org/resource/Francisco_Gómez-Jordana_Sousa","http://dbpedia.org/resource/Francisco_Gómez-Jordana_Sousa__3","Prime Minister of Francoist Spain","-1","-1"
"http://dbpedia.org/resource/Hikmat_Sulayman","http://dbpedia.org/resource/Hikmat_Sulayman__1","Prime Minister of Iraq","28","35"
"http://dbpedia.org/resource/Jan_Syrový","http://dbpedia.org/resource/Jan_Syrový__1","Prime Minister of Czechoslovakia","34","207"
"http://dbpedia.org/resource/Biswanath_Das","http://dbpedia.org/resource/Biswanath_Das__3","Prime Minister of Odisha","27","67"
"http://dbpedia.org/resource/Nasuhi_al-Bukhari","http://dbpedia.org/resource/Nasuhi_al-Bukhari__1","Prime Minister of Syria","10","90"
"http://dbpedia.org/resource/Ioannis_Rallis","http://dbpedia.org/resource/Ioannis_Rallis__1","Prime Minister of theHellenic State","42","87"
"http://dbpedia.org/resource/Johan_Wilhelm_Rangell","http://dbpedia.org/resource/Johan_Wilhelm_Rangell__1","Prime Minister of Finland","25","70"
"http://dbpedia.org/resource/Antti_Hackzell","http://dbpedia.org/resource/Antti_Hackzell__1","Prime Minister of Finland","29","53"
"http://dbpedia.org/resource/Urho_Castrén","http://dbpedia.org/resource/Urho_Castrén__1","Prime Minister of Finland","24","35"
"http://dbpedia.org/resource/J._M._Andrews","http://dbpedia.org/resource/J._M._Andrews__1","Prime Minister of Northern Ireland","75","112"
