"person","place","date","dbin","dbout"
"http://dbpedia.org/resource/Luna_Leopold","http://dbpedia.org/resource/Berkeley","_California","2006-02-23","33","78"
"http://dbpedia.org/resource/Abdelaziz_Ben_Tifour","http://dbpedia.org/resource/Algiers","1970-11-19","20","117"
"http://dbpedia.org/resource/Michael_Raffetto","http://dbpedia.org/resource/Berkeley","_California","1990-05-31","-1","-1"
"http://dbpedia.org/resource/Nat_Towles","http://dbpedia.org/resource/Berkeley","_California","1962","22","97"
"http://dbpedia.org/resource/William_Stephen_Walker","http://dbpedia.org/resource/Atlanta","1899-06-07","5","86"
"http://dbpedia.org/resource/James_Schevill","http://dbpedia.org/resource/Berkeley","_California","2009-01-30","10","69"
"http://dbpedia.org/resource/Joe_Crisp","http://dbpedia.org/resource/Kansas_City","_Missouri","1939-02-05","3","48"
"http://dbpedia.org/resource/Derrick_Norman_Lehmer","http://dbpedia.org/resource/Berkeley","_California","1938-09-08","17","54"
"http://dbpedia.org/resource/Don_O'Riley","http://dbpedia.org/resource/Kansas_City","_Missouri","1997-05-02","6","52"
"http://dbpedia.org/resource/Griffin_Bell","http://dbpedia.org/resource/Atlanta","2009-01-05","73","127"
"http://dbpedia.org/resource/Harold_B._McSween","http://dbpedia.org/resource/Alexandria","_Louisiana","2002-01-02","26","83"
"http://dbpedia.org/resource/Henry_Kent_McCay","http://dbpedia.org/resource/Atlanta","1886-07-30","9","33"
"http://dbpedia.org/resource/Lou_Perryman","http://dbpedia.org/resource/Austin","_Texas","2009-04-01","18","39"
"http://dbpedia.org/resource/William_Marriott_(baseball)","http://dbpedia.org/resource/Berkeley","_California","1969-08-11","12","54"
"http://dbpedia.org/resource/William_Vernon_Skiles","http://dbpedia.org/resource/Atlanta","1947-09-10","5","44"
"http://dbpedia.org/resource/Yoshiko_Uchida","http://dbpedia.org/resource/Berkeley","_California","1992-06-21","12","76"
"http://dbpedia.org/resource/Cliff_Davies_(musician)","http://dbpedia.org/resource/Atlanta","2008","40","40"
"http://dbpedia.org/resource/Frederick_Ellsworth_Sickels","http://dbpedia.org/resource/Kansas_City","_Missouri","1895-03-08","10","25"
"http://dbpedia.org/resource/Horace_Greely_Prettyman","http://dbpedia.org/resource/Ann_Arbor","_Michigan","1945-03-27","25","35"
"http://dbpedia.org/resource/Jeffrey_Friedman_(politician)","http://dbpedia.org/resource/Austin","_Texas","2007-06-08","-1","-1"
"http://dbpedia.org/resource/Kaarlo_Koskelo","http://dbpedia.org/resource/Astoria","_Oregon","1953-12-21","14","22"
"http://dbpedia.org/resource/Robert_Sears","http://dbpedia.org/resource/Atlanta","1979-01-09","13","38"
"http://dbpedia.org/resource/Takashi_Kushida","http://dbpedia.org/resource/Ann_Arbor","_Michigan","2012-05-10","8","40"
"http://dbpedia.org/resource/Tommie_Aaron","http://dbpedia.org/resource/Atlanta","1984-08-16","43","89"
"http://dbpedia.org/resource/Allan_Shivers","http://dbpedia.org/resource/Austin","_Texas","1985-01-14","84","127"
"http://dbpedia.org/resource/Friend_Richardson","http://dbpedia.org/resource/Berkeley","_California","1943-09-06","28","119"
"http://dbpedia.org/resource/Serge_Lang","http://dbpedia.org/resource/Berkeley","_California","2005-09-12","79","122"
"http://dbpedia.org/resource/Bryce_DeWitt","http://dbpedia.org/resource/Austin","_Texas","2004-09-23","46","81"
"http://dbpedia.org/resource/David_Gale","http://dbpedia.org/resource/Berkeley","_California","2008-03-07","28","109"
"http://dbpedia.org/resource/Hàm_Nghi","http://dbpedia.org/resource/Algiers","1943-01-04","-1","-1"
"http://dbpedia.org/resource/Ray_Fisher","http://dbpedia.org/resource/Ann_Arbor","_Michigan","1982-11-03","64","113"
"http://dbpedia.org/resource/Brutus_Hamilton","http://dbpedia.org/resource/Berkeley","_California","1970-12-28","13","25"
"http://dbpedia.org/resource/Charles_Gordon_Edwards","http://dbpedia.org/resource/Atlanta","1931-07-13","36","80"
"http://dbpedia.org/resource/Louis_W._Truman","http://dbpedia.org/resource/Atlanta","2004-12-02","10","89"
"http://dbpedia.org/resource/George_J._Armelagos","http://dbpedia.org/resource/Atlanta","2014-05-15","6","32"
"http://dbpedia.org/resource/M'hamed_Issiakhem","http://dbpedia.org/resource/Algiers","1985","4","25"
"http://dbpedia.org/resource/Steffen_Thomas","http://dbpedia.org/resource/Atlanta","1990-01-27","-1","-1"
"http://dbpedia.org/resource/Corona_Riccardo","http://dbpedia.org/resource/Kansas_City","_Missouri","1917-10-15","-1","-1"
"http://dbpedia.org/resource/George_Gutteres","http://dbpedia.org/resource/Algiers","1898-03-02","1","68"
"http://dbpedia.org/resource/Gerald_Hurst","http://dbpedia.org/resource/Austin","_Texas","2015-03-11","-1","-1"
"http://dbpedia.org/resource/John_Bugas","http://dbpedia.org/resource/Ann_Arbor","_Michigan","1982-12-02","-1","-1"
"http://dbpedia.org/resource/Kenneth_C._Brugger","http://dbpedia.org/resource/Austin","_Texas","1998-11-25","7","30"
"http://dbpedia.org/resource/Thomas_Rutherford_Bacon","http://dbpedia.org/resource/Berkeley","_California","1913-03-26","7","37"
"http://dbpedia.org/resource/Thomas_Rutherford_Bacon","http://dbpedia.org/resource/Berkeley","_California","1931","7","37"
"http://dbpedia.org/resource/Witold_Czartoryski","http://dbpedia.org/resource/Algiers","1865-11-14","11","33"
"http://dbpedia.org/resource/Chase_Tatum","http://dbpedia.org/resource/Atlanta","2008-03-23","9","44"
"http://dbpedia.org/resource/James_Orange","http://dbpedia.org/resource/Atlanta","2008-02-16","19","50"
"http://dbpedia.org/resource/Ben_Ramsey","http://dbpedia.org/resource/Austin","_Texas","1985-03-27","35","78"
"http://dbpedia.org/resource/Charles_Kirbo","http://dbpedia.org/resource/Atlanta","1996-09-02","5","22"
"http://dbpedia.org/resource/Decherd_Turner","http://dbpedia.org/resource/Austin","_Texas","2002-07-07","3","28"
"http://dbpedia.org/resource/Ed_Lindenmeyer","http://dbpedia.org/resource/Atlanta","1981-07-24","-1","-1"
"http://dbpedia.org/resource/Edward_A._Clark","http://dbpedia.org/resource/Austin","_Texas","1992-09-16","11","73"
"http://dbpedia.org/resource/Forrest_Crawford","http://dbpedia.org/resource/Austin","_Texas","1908-03-27","5","34"
"http://dbpedia.org/resource/Frank_Nash","http://dbpedia.org/resource/Kansas_City","_Missouri","1933-06-17","23","57"
"http://dbpedia.org/resource/George_Gillpatrick","http://dbpedia.org/resource/Kansas_City","_Missouri","1941-12-14","6","62"
"http://dbpedia.org/resource/James_Allen_Vann","http://dbpedia.org/resource/Atlanta","1986","-1","-1"
"http://dbpedia.org/resource/James_Allen_Vann","http://dbpedia.org/resource/Atlanta","1986-05-04","-1","-1"
"http://dbpedia.org/resource/James_Marion_West","_Sr.","http://dbpedia.org/resource/Kansas_City","_Missouri","1941","17","90"
"http://dbpedia.org/resource/James_Marion_West","_Sr.","http://dbpedia.org/resource/Kansas_City","_Missouri","1941-08-24","17","90"
"http://dbpedia.org/resource/Rachid_Ksentini","http://dbpedia.org/resource/Algiers","1944-08-04","-1","-1"
"http://dbpedia.org/resource/David_M._Young","_Jr.","http://dbpedia.org/resource/Austin","_Texas","2008-12-21","13","60"
"http://dbpedia.org/resource/Heman_Marion_Sweatt","http://dbpedia.org/resource/Atlanta","1982-10-03","-1","-1"
"http://dbpedia.org/resource/Isaac_Thomas","http://dbpedia.org/resource/Alexandria","_Louisiana","1859-02-02","9","36"
"http://dbpedia.org/resource/W._George_Bowdon","_Jr.","http://dbpedia.org/resource/Alexandria","_Louisiana","2005-11-17","29","125"
"http://dbpedia.org/resource/Dick_Wood","http://dbpedia.org/resource/Atlanta","2015-04-04","23","67"
"http://dbpedia.org/resource/Dan_Moody","http://dbpedia.org/resource/Austin","_Texas","1966-05-22","52","92"
"http://dbpedia.org/resource/Miriam_A._Ferguson","http://dbpedia.org/resource/Austin","_Texas","1961-06-25","84","98"
"http://dbpedia.org/resource/Charles_Frederick_Crisp","http://dbpedia.org/resource/Atlanta","1896-10-23","65","97"
"http://dbpedia.org/resource/Hiram_B._Warner","http://dbpedia.org/resource/Atlanta","1881-06-30","20","65"
"http://dbpedia.org/resource/Sam_Houston_Johnson","http://dbpedia.org/resource/Austin","_Texas","1978-12-11","4","17"
"http://dbpedia.org/resource/Charles_L._Moses","http://dbpedia.org/resource/Atlanta","1910-10-10","13","27"
"http://dbpedia.org/resource/Eddie_Kazak","http://dbpedia.org/resource/Austin","_Texas","1999-12-15","12","64"
"http://dbpedia.org/resource/James_W._Wise","http://dbpedia.org/resource/Atlanta","1925-09-08","24","54"
"http://dbpedia.org/resource/James_R._Beverley","http://dbpedia.org/resource/Austin","_Texas","1967-06-17","26","34"
"http://dbpedia.org/resource/Richard_W._Bailey","http://dbpedia.org/resource/Ann_Arbor","_Michigan","2011","7","36"
"http://dbpedia.org/resource/Argentina_Apollo","http://dbpedia.org/resource/Atlanta","1984-08-02","6","40"
"http://dbpedia.org/resource/Chet_Falk","http://dbpedia.org/resource/Austin","_Texas","1982-01-07","5","20"
"http://dbpedia.org/resource/Chico_Renfroe","http://dbpedia.org/resource/Atlanta","1991-09-01","1","40"
"http://dbpedia.org/resource/Chico_Renfroe","http://dbpedia.org/resource/Atlanta","1991-09-03","1","40"
"http://dbpedia.org/resource/Harold_Nichols","http://dbpedia.org/resource/Ames","_Iowa","1997-02-22","2","42"
"http://dbpedia.org/resource/Ibrahim_Makhous","http://dbpedia.org/resource/Algiers","2013-09-10","-1","-1"
"http://dbpedia.org/resource/Johnny_Echols_(baseball)","http://dbpedia.org/resource/Atlanta","1972-11-13","5","31"
"http://dbpedia.org/resource/Peg_Leg_Howell","http://dbpedia.org/resource/Atlanta","1966-08-11","16","56"
"http://dbpedia.org/resource/Terry_Mathews","http://dbpedia.org/resource/Alexandria","_Louisiana","2012-02-24","23","47"
"http://dbpedia.org/resource/William_J._Bouwsma","http://dbpedia.org/resource/Berkeley","_California","2004-03-02","8","20"
"http://dbpedia.org/resource/Clinton_McKamy_Winkler","http://dbpedia.org/resource/Austin","_Texas","1882-05-13","-1","-1"
"http://dbpedia.org/resource/Geraldine_Knight_Scott","http://dbpedia.org/resource/Berkeley","_California","1989-08-02","-1","-1"
"http://dbpedia.org/resource/J._M._Gates","http://dbpedia.org/resource/Atlanta","1945-08-18","19","65"
"http://dbpedia.org/resource/Mohamed_Benameur","http://dbpedia.org/resource/Algiers","2010-12-30","3","52"
"http://dbpedia.org/resource/Fernance_B._Perry","http://dbpedia.org/resource/Atlanta","2014-11-27","5","74"
"http://dbpedia.org/resource/Glenn_McQueen","http://dbpedia.org/resource/Berkeley","_California","2002-10-29","13","66"
"http://dbpedia.org/resource/William_Stewart_Walker","http://dbpedia.org/resource/Alexandria","_Louisiana","1999-02-06","14","166"
"http://dbpedia.org/resource/Charles_Atwood_Kofoid","http://dbpedia.org/resource/Berkeley","_California","1947-05-30","4","33"
"http://dbpedia.org/resource/Henry_Carter_Adams","http://dbpedia.org/resource/Ann_Arbor","_Michigan","1921-08-11","6","48"
"http://dbpedia.org/resource/William_H.T._Walker","http://dbpedia.org/resource/Atlanta","1864-07-22","37","104"
"http://dbpedia.org/resource/Sarah_Goddard_Power","http://dbpedia.org/resource/Ann_Arbor","_Michigan","1987-03-24","3","39"
"http://dbpedia.org/resource/Mai_Kitazawa_Arbegast","http://dbpedia.org/resource/Berkeley","_California","2012","-1","-1"
"http://dbpedia.org/resource/John_Caskie_Collet","http://dbpedia.org/resource/Kansas_City","_Missouri","1955-12-05","9","50"
"http://dbpedia.org/resource/Joseph_Edward_Stevens","_Jr.","http://dbpedia.org/resource/Kansas_City","_Missouri","1998-12-18","12","36"
"http://dbpedia.org/resource/Richard_Cameron_Freeman","http://dbpedia.org/resource/Atlanta","1999-08-22","5","31"
"http://dbpedia.org/resource/Robert_D._Farquhar","http://dbpedia.org/resource/Berkeley","_California","1967-12-06","16","74"
"http://dbpedia.org/resource/William_Truslow_Newman","http://dbpedia.org/resource/Atlanta","1920-02-14","1","28"
"http://dbpedia.org/resource/Roscoe_Bonisteel","http://dbpedia.org/resource/Ann_Arbor","_Michigan","1972-02-25","-1","-1"
"http://dbpedia.org/resource/Ali_Benfadah","http://dbpedia.org/resource/Algiers","1993-12-02","-1","-1"
"http://dbpedia.org/resource/McIntyre_H._Sandlin","http://dbpedia.org/resource/Alexandria","_Louisiana","1955-10-31","-1","-1"
"http://dbpedia.org/resource/William_McCleave","http://dbpedia.org/resource/Berkeley","_California","1904-02-03","-1","-1"
"http://dbpedia.org/resource/A._W._Norblad","http://dbpedia.org/resource/Astoria","_Oregon","1960-04-17","34","70"
"http://dbpedia.org/resource/Clancy_Carlile","http://dbpedia.org/resource/Austin","_Texas","1998-06-04","9","46"
"http://dbpedia.org/resource/Death_of_Jennifer_Ann_Crecente","http://dbpedia.org/resource/Austin","_Texas","2006-02-15","9","46"
"http://dbpedia.org/resource/Dip_Orange","http://dbpedia.org/resource/Alexandria","_Louisiana","1946-09-21","5","39"
"http://dbpedia.org/resource/Frank_Arthur_Hooper","http://dbpedia.org/resource/Atlanta","1985-02-11","8","47"
"http://dbpedia.org/resource/Marvin_L._Esch","http://dbpedia.org/resource/Ann_Arbor","_Michigan","2010-06-19","46","81"
"http://dbpedia.org/resource/Nelder_Dawson","http://dbpedia.org/resource/Alexandria","_Louisiana","2006-11-18","7","81"
"http://dbpedia.org/resource/Red_Massey","http://dbpedia.org/resource/Atlanta","1954-06-23","3","41"
"http://dbpedia.org/resource/Robert_Frederick_Bennett","http://dbpedia.org/resource/Kansas_City","_Missouri","2000-10-09","23","68"
"http://dbpedia.org/resource/Samuel_Dunbar","http://dbpedia.org/resource/Alexandria","_Louisiana","2014-08-31","-1","-1"
"http://dbpedia.org/resource/Eugene_Genovese","http://dbpedia.org/resource/Atlanta","2012-09-26","55","97"
"http://dbpedia.org/resource/Heber_Doust_Curtis","http://dbpedia.org/resource/Ann_Arbor","_Michigan","1942-01-09","37","45"
"http://dbpedia.org/resource/Johnny_Kling","http://dbpedia.org/resource/Kansas_City","_Missouri","1947-01-31","64","78"
"http://dbpedia.org/resource/Richard_Diebenkorn","http://dbpedia.org/resource/Berkeley","_California","1993-03-30","119","123"
"http://dbpedia.org/resource/Owen_Chamberlain","http://dbpedia.org/resource/Berkeley","_California","2006-02-28","59","103"
"http://dbpedia.org/resource/Susan_Tyrrell","http://dbpedia.org/resource/Austin","_Texas","2012-06-16","113","119"
"http://dbpedia.org/resource/Henry_Gilman","http://dbpedia.org/resource/Ames","_Iowa","1986-11-07","16","74"
"http://dbpedia.org/resource/Joseph_E._Brown","http://dbpedia.org/resource/Atlanta","1894-11-30","95","107"
"http://dbpedia.org/resource/Rudolf_Arnheim","http://dbpedia.org/resource/Ann_Arbor","_Michigan","2007-06-09","51","97"
"http://dbpedia.org/resource/William_Giauque","http://dbpedia.org/resource/Berkeley","_California","1982-03-28","39","68"
"http://dbpedia.org/resource/Bob_Shaw_(American_actor)","http://dbpedia.org/resource/Austin","_Texas","2005-01-03","14","38"
"http://dbpedia.org/resource/James_D._Hart","http://dbpedia.org/resource/Berkeley","_California","1990-07-23","13","69"
"http://dbpedia.org/resource/Manfred_Bukofzer","http://dbpedia.org/resource/Berkeley","_California","1955-12-17","52","51"
"http://dbpedia.org/resource/Mule_Wilson","http://dbpedia.org/resource/Austin","_Texas","1937-07-18","5","46"
"http://dbpedia.org/resource/Theodore_Newcomb","http://dbpedia.org/resource/Ann_Arbor","_Michigan","1984-12-28","4","45"
"http://dbpedia.org/resource/William_Siri","http://dbpedia.org/resource/Berkeley","_California","2004-08-24","11","48"
"http://dbpedia.org/resource/Elisabet_Ney","http://dbpedia.org/resource/Austin","_Texas","1907-06-29","32","140"
"http://dbpedia.org/resource/Hosea_Williams","http://dbpedia.org/resource/Atlanta","2000-11-16","53","176"
"http://dbpedia.org/resource/Sam_Hinton","http://dbpedia.org/resource/Berkeley","_California","2009-09-10","16","70"
"http://dbpedia.org/resource/Bryan_Grant","http://dbpedia.org/resource/Atlanta","1986-06-05","37","63"
"http://dbpedia.org/resource/Jock_Scott","http://dbpedia.org/resource/Alexandria","_Louisiana","2009-04-25","50","210"
"http://dbpedia.org/resource/Rip_Ragan","http://dbpedia.org/resource/Kansas_City","_Missouri","1953-06-08","4","39"
"http://dbpedia.org/resource/Sara_Bard_Field","http://dbpedia.org/resource/Berkeley","_California","1974-06-15","13","79"
"http://dbpedia.org/resource/Abner_Cook","http://dbpedia.org/resource/Austin","_Texas","1884-02-22","16","43"
"http://dbpedia.org/resource/Limmie_Snell","http://dbpedia.org/resource/Atlanta","1986","5","57"
"http://dbpedia.org/resource/Mildred_Paxton_Moody","http://dbpedia.org/resource/Austin","_Texas","1983-03-01","6","54"
"http://dbpedia.org/resource/Willie_Burden","http://dbpedia.org/resource/Atlanta","2015-12-04","23","83"
"http://dbpedia.org/resource/Cleveland_Dear","http://dbpedia.org/resource/Alexandria","_Louisiana","1950-12-30","22","117"
"http://dbpedia.org/resource/Joseph_Kerman","http://dbpedia.org/resource/Berkeley","_California","2014-03-17","31","74"
"http://dbpedia.org/resource/Michael_D._Cohen_(academic)","http://dbpedia.org/resource/Ann_Arbor","_Michigan","2013-02-02","-1","-1"
"http://dbpedia.org/resource/Jim_Butler_(American_football)","http://dbpedia.org/resource/Atlanta","2014-02-10","13","42"
"http://dbpedia.org/resource/Mel_Deutsch","http://dbpedia.org/resource/Austin","_Texas","2001-11-18","7","60"
"http://dbpedia.org/resource/Richard_Von_Albade_Gammon","http://dbpedia.org/resource/Atlanta","1897-10-31","2","23"
"http://dbpedia.org/resource/Lincoln_MacMillan","http://dbpedia.org/resource/Ann_Arbor","_Michigan","1950-09-12","-1","-1"
"http://dbpedia.org/resource/Wallace_H._Graham","http://dbpedia.org/resource/Kansas_City","_Missouri","1996-01-04","-1","-1"
"http://dbpedia.org/resource/Dorsey_B._Hardeman","http://dbpedia.org/resource/Austin","_Texas","1992-08-11","-1","-1"
"http://dbpedia.org/resource/John_B._Balinsky","http://dbpedia.org/resource/Ames","_Iowa","1983-10-01","-1","-1"
"http://dbpedia.org/resource/Guy_Gilles","http://dbpedia.org/resource/Algiers","1996-02-03","25","51"
"http://dbpedia.org/resource/Gordon_Lynn_Walls","http://dbpedia.org/resource/Berkeley","_California","1962-08-22","-1","-1"
"http://dbpedia.org/resource/Bobby_Cargo","http://dbpedia.org/resource/Atlanta","1904-04-27","4","67"
"http://dbpedia.org/resource/Cicero_Washington_Pruitt","http://dbpedia.org/resource/Atlanta","1946-12-27","10","41"
"http://dbpedia.org/resource/Fats_Waller","http://dbpedia.org/resource/Kansas_City","_Missouri","1943-12-15","633","170"
"http://dbpedia.org/resource/Francis_Fontaine_(author)","http://dbpedia.org/resource/Atlanta","1901-05-03","-1","-1"
"http://dbpedia.org/resource/Fred_Baden","http://dbpedia.org/resource/Alexandria","_Louisiana","2009-12-17","19","92"
"http://dbpedia.org/resource/Gerald_Archie_Mangun","http://dbpedia.org/resource/Alexandria","_Louisiana","2010-06-17","3","88"
"http://dbpedia.org/resource/Gérard_de_Vaucouleurs","http://dbpedia.org/resource/Austin","_Texas","1995-10-07","43","67"
"http://dbpedia.org/resource/Homer_Thornberry","http://dbpedia.org/resource/Austin","_Texas","1995-12-12","53","71"
"http://dbpedia.org/resource/Hubert_Stanley_Wall","http://dbpedia.org/resource/Austin","_Texas","1971-09-12","12","66"
