"person","timePeriod","office","from","to","dbin","dbout"
"http://dbpedia.org/resource/Charilaos_Trikoupis","http://dbpedia.org/resource/Charilaos_Trikoupis__1","Prime Minister of Greece","1875-05-08","1875-10-27","116","129"
"http://dbpedia.org/resource/Jules_d'Anethan","http://dbpedia.org/resource/Jules_d'Anethan__1","Prime Minister of Belgium","1870-07-02","1871-12-07","24","60"
"http://dbpedia.org/resource/Emmanuel_Servais","http://dbpedia.org/resource/Emmanuel_Servais__1","Prime Minister of Luxembourg","1867-12-03","1874-12-26","37","129"
"http://dbpedia.org/resource/Johan_Rudolph_Thorbecke","http://dbpedia.org/resource/Johan_Rudolph_Thorbecke__1","Prime Minister of the Netherlands","1871-01-04","1872-06-04","73","116"
"http://dbpedia.org/resource/John_Charles_Molteno","http://dbpedia.org/resource/John_Charles_Molteno__1","Prime Minister of the Cape Colony","1872-12-01","1878-02-05","128","147"
"http://dbpedia.org/resource/António_José_de_Ávila","_1st_Duke_of_Ávila_and_Bolama","http://dbpedia.org/resource/António_José_de_Ávila","_1st_Duke_of_Ávila_and_Bolama__3","Prime Minister of Portugal","1877-03-06","1878-01-26","36","112"
"http://dbpedia.org/resource/Muhammad_Sharif_Pasha","http://dbpedia.org/resource/Muhammad_Sharif_Pasha__1","Prime Minister of Egypt","1879-04-07","1879-08-18","35","85"
"http://dbpedia.org/resource/Muhammad_Sharif_Pasha","http://dbpedia.org/resource/Muhammad_Sharif_Pasha__2","Prime Minister of Egypt(second term)","1881-09-14","1882-02-04","35","85"
"http://dbpedia.org/resource/Charles_de_Freycinet","http://dbpedia.org/resource/Charles_de_Freycinet__1","Prime Minister of France","1879-12-28","1880-09-23","97","124"
"http://dbpedia.org/resource/Alexander_Mackenzie","http://dbpedia.org/resource/Alexander_Mackenzie__1","Prime Minister of Canada","1873-11-07","1878-10-08","301","155"
"http://dbpedia.org/resource/Walthère_Frère-Orban","http://dbpedia.org/resource/Walthère_Frère-Orban__1","Prime Minister of Belgium","1878-06-19","1884-06-16","56","60"
"http://dbpedia.org/resource/Thomas_Charles_Scanlen","http://dbpedia.org/resource/Thomas_Charles_Scanlen__1","Prime Minister of the Cape Colony","1881-05-09","1884-05-12","27","81"
"http://dbpedia.org/resource/Thomas_Upington","http://dbpedia.org/resource/Thomas_Upington__1","Prime Minister of the Cape Colony","1884-05-13","1886-11-24","19","120"
"http://dbpedia.org/resource/Muhammad_Sharif_Pasha","http://dbpedia.org/resource/Muhammad_Sharif_Pasha__3","Prime Minister of Egypt(third term)","1882-08-21","1884-01-07","35","85"
"http://dbpedia.org/resource/Jules_Malou","http://dbpedia.org/resource/Jules_Malou__1","Prime Minister of Belgium","1884-06-16","1884-10-26","34","66"
"http://dbpedia.org/resource/Félix_de_Blochausen","http://dbpedia.org/resource/Félix_de_Blochausen__1","Prime Minister of Luxembourg","1874-12-26","1885-02-20","34","41"
"http://dbpedia.org/resource/Walter_M._Gibson","http://dbpedia.org/resource/Walter_M._Gibson__1","Prime Minister of Hawaii","1886-06-30","1886-10-13","53","114"
"http://dbpedia.org/resource/Armand_Fallières","http://dbpedia.org/resource/Armand_Fallières__2","Prime Minister of France","1883-01-29","1883-02-21","105","112"
"http://dbpedia.org/resource/Dimitrios_Valvis","http://dbpedia.org/resource/Dimitrios_Valvis__1","Prime Minister of Greece","1886-05-09","1886-05-21","13","38"
"http://dbpedia.org/resource/Auguste_Beernaert","http://dbpedia.org/resource/Auguste_Beernaert__1","Prime Minister of Belgium","1884-10-26","1894-03-26","-1","-1"
"http://dbpedia.org/resource/Émile_Loubet","http://dbpedia.org/resource/Émile_Loubet__2","Prime Minister of France","1892-02-27","1892-12-06","113","118"
"http://dbpedia.org/resource/Jean_Casimir-Perier","http://dbpedia.org/resource/Jean_Casimir-Perier__2","Prime Minister of France","1893-12-03","1894-05-30","83","83"
"http://dbpedia.org/resource/Leo_von_Caprivi","http://dbpedia.org/resource/Leo_von_Caprivi__2","Prime Minister of Prussia","1890-03-20","1892-03-22","116","133"
"http://dbpedia.org/resource/John_Abbott","http://dbpedia.org/resource/John_Abbott__1","Prime Minister of Canada","1891-06-16","1892-11-24","208","182"
"http://dbpedia.org/resource/Édouard_Thilges","http://dbpedia.org/resource/Édouard_Thilges__1","Prime Minister of Luxembourg","1885-02-20","1888-09-22","24","58"
"http://dbpedia.org/resource/John_A._Macdonald","http://dbpedia.org/resource/John_A._Macdonald__1","Prime Minister of Canada","1878-10-17","1891-06-06","959","356"
"http://dbpedia.org/resource/Cecil_Rhodes","http://dbpedia.org/resource/Cecil_Rhodes__1","Prime Minister of the Cape Colony","1890-07-17","1896-01-12","492","330"
"http://dbpedia.org/resource/Nubar_Pasha","http://dbpedia.org/resource/Nubar_Pasha__1","Prime Minister of Egypt","1894-04-16","1895-11-12","33","108"
"http://dbpedia.org/resource/Pedro_Paterno","http://dbpedia.org/resource/Pedro_Paterno__1","Prime Minister of the Philippines","1899-05-07","1899-11-13","70","91"
"http://dbpedia.org/resource/William_Philip_Schreiner","http://dbpedia.org/resource/William_Philip_Schreiner__1","Prime Minister of the Cape Colony","1898-10-13","1900-06-17","34","103"
"http://dbpedia.org/resource/Jules_Vandenpeereboom","http://dbpedia.org/resource/Jules_Vandenpeereboom__1","Prime Minister of Belgium","1899-01-24","1899-08-05","15","53"
"http://dbpedia.org/resource/Jules_de_Burlet","http://dbpedia.org/resource/Jules_de_Burlet__1","Prime Minister of Belgium","1894-03-26","1896-02-25","15","47"
"http://dbpedia.org/resource/Mackenzie_Bowell","http://dbpedia.org/resource/Mackenzie_Bowell__1","Prime Minister of Canada","1894-12-21","1896-04-27","176","151"
"http://dbpedia.org/resource/Charles_Tupper","http://dbpedia.org/resource/Charles_Tupper__1","Prime Minister of Canada","1896-05-01","1896-07-08","229","445"
"http://dbpedia.org/resource/John_Sparrow_David_Thompson","http://dbpedia.org/resource/John_Sparrow_David_Thompson__1","Prime Minister of Canada","1892-12-05","1894-12-12","192","194"
"http://dbpedia.org/resource/Gordon_Sprigg","http://dbpedia.org/resource/Gordon_Sprigg__1","Prime Minister of the Cape Colony","1900-06-18","1904-02-21","57","147"
"http://dbpedia.org/resource/Chlodwig","_Prince_of_Hohenlohe-Schillingsfürst","http://dbpedia.org/resource/Chlodwig","_Prince_of_Hohenlohe-Schillingsfürst__2","Prime Minister of Prussia","1894-10-29","1900-10-17","123","184"
"http://dbpedia.org/resource/Bir_Shumsher_Jang_Bahadur_Rana","http://dbpedia.org/resource/Bir_Shumsher_Jang_Bahadur_Rana__1","Prime Minister of Nepal","1885-11-22","1901-03-05","-1","-1"
"http://dbpedia.org/resource/Itō_Hirobumi","http://dbpedia.org/resource/Itō_Hirobumi__1","Prime Minister of Japan","1900-10-19","1901-05-10","360","251"
"http://dbpedia.org/resource/Robert_Bond","http://dbpedia.org/resource/Robert_Bond__1","Prime Minister of the Dominion of Newfoundland","1907-09-26","1909-03-02","42","80"
"http://dbpedia.org/resource/Augusto_B._Leguía","http://dbpedia.org/resource/Augusto_B._Leguía__3","Prime Minister of Peru","1904-09-24","1907-08-01","97","79"
"http://dbpedia.org/resource/Leander_Starr_Jameson","http://dbpedia.org/resource/Leander_Starr_Jameson__1","Prime Minister of the Cape Colony","1904-02-22","1908-02-02","132","189"
"http://dbpedia.org/resource/Mirza_Nasrullah_Khan","http://dbpedia.org/resource/Mirza_Nasrullah_Khan__1","Prime Minister of Persia","1906-08-01","1907-03-17","22","65"
"http://dbpedia.org/resource/John_X._Merriman","http://dbpedia.org/resource/John_X._Merriman__1","Prime Minister of the Cape Colony","1908-02-03","1910-05-31","57","126"
"http://dbpedia.org/resource/José_Pardo_y_Barreda","http://dbpedia.org/resource/José_Pardo_y_Barreda__3","Prime Minister of Peru","1903-09-08","1907-08-01","39","52"
"http://dbpedia.org/resource/Jules_de_Trooz","http://dbpedia.org/resource/Jules_de_Trooz__1","Prime Minister of Belgium","1907-05-02","1907-12-31","18","48"
"http://dbpedia.org/resource/Paul_de_Smet_de_Naeyer","http://dbpedia.org/resource/Paul_de_Smet_de_Naeyer__1","Prime Minister of Belgium","1899-08-05","1907-05-02","29","58"
"http://dbpedia.org/resource/António_Teixeira_de_Sousa","http://dbpedia.org/resource/António_Teixeira_de_Sousa__4","Prime Minister of Portugal","1910-06-26","1910-10-05","32","74"
"http://dbpedia.org/resource/Frans_Schollaert","http://dbpedia.org/resource/Frans_Schollaert__1","Prime Minister of Belgium","1908-01-01","1911-06-17","31","56"
"http://dbpedia.org/resource/Wilfrid_Laurier","http://dbpedia.org/resource/Wilfrid_Laurier__1","Prime Minister of Canada","1896-07-11","1911-10-06","759","331"
"http://dbpedia.org/resource/John_Chalker_Crosbie","http://dbpedia.org/resource/John_Chalker_Crosbie__1","Prime Minister of Newfoundland","1917-12-31","1918-01-05","15","56"
"http://dbpedia.org/resource/Noe_Ramishvili","http://dbpedia.org/resource/Noe_Ramishvili__1","Prime Minister of Georgia","1918-05-26","1918-06-24","18","46"
"http://dbpedia.org/resource/Essad_Pasha_Toptani","http://dbpedia.org/resource/Essad_Pasha_Toptani__1","Prime Minister of Albania","1914-10-05","1916-02-23","55","117"
"http://dbpedia.org/resource/Edward_Morris","_1st_Baron_Morris","http://dbpedia.org/resource/Edward_Morris","_1st_Baron_Morris__1","Prime Minister of Newfoundland","1909-03-02","1917-12-31","57","75"
"http://dbpedia.org/resource/H._H._Asquith","http://dbpedia.org/resource/H._H._Asquith__1","Prime Minister of the United Kingdom","1908-04-05","1916-12-05","972","390"
"http://dbpedia.org/resource/Jan_Kanty_Steczkowski","http://dbpedia.org/resource/Jan_Kanty_Steczkowski__1","Prime Minister of Poland","1918-04-04","1918-10-02","11","17"
"http://dbpedia.org/resource/Gérard_Cooreman","http://dbpedia.org/resource/Gérard_Cooreman__1","Prime Minister of Belgium","1918-06-01","1918-11-21","24","56"
"http://dbpedia.org/resource/Władysław_Wróblewski","http://dbpedia.org/resource/Władysław_Wróblewski__1","Prime Minister of Poland(provisional)","1918-11-04","1918-11-11","25","38"
"http://dbpedia.org/resource/Nikola_Pašić","http://dbpedia.org/resource/Nikola_Pašić__4","Prime Minister of Serbia","1912-09-12","1918-12-01","154","236"
"http://dbpedia.org/resource/Paul_Eyschen","http://dbpedia.org/resource/Paul_Eyschen__1","Prime Minister of Luxembourg","1888-09-22","1915-10-11","54","98"
"http://dbpedia.org/resource/Hubert_Loutsch","http://dbpedia.org/resource/Hubert_Loutsch__1","Prime Minister of Luxembourg","1915-11-06","1916-02-24","19","47"
"http://dbpedia.org/resource/Léon_Kauffman","http://dbpedia.org/resource/Léon_Kauffman__1","Prime Minister of Luxembourg","1917-06-18","1918-09-28","31","68"
"http://dbpedia.org/resource/Mathias_Mongenast","http://dbpedia.org/resource/Mathias_Mongenast__1","Prime Minister of Luxembourg","1915-10-12","1915-11-06","21","60"
"http://dbpedia.org/resource/Victor_Thorn","http://dbpedia.org/resource/Victor_Thorn__1","Prime Minister of Luxembourg","1916-02-24","1917-06-19","31","67"
"http://dbpedia.org/resource/Juho_Vennola","http://dbpedia.org/resource/Juho_Vennola__1","Prime Minister of Finland","1919-08-15","1920-03-15","47","43"
"http://dbpedia.org/resource/Kaarlo_Castrén","http://dbpedia.org/resource/Kaarlo_Castrén__1","Prime Minister of Finland","1919-04-17","1919-08-15","21","42"
"http://dbpedia.org/resource/Rafael_Erich","http://dbpedia.org/resource/Rafael_Erich__1","Prime Minister of Finland","1920-03-15","1921-04-09","18","41"
"http://dbpedia.org/resource/Louis_Botha","http://dbpedia.org/resource/Louis_Botha__1","Prime Minister of South Africa","1910-05-31","1919-08-27","220","152"
"http://dbpedia.org/resource/Noe_Zhordania","http://dbpedia.org/resource/Noe_Zhordania__1","Prime Minister of Georgia","1918-06-24","1921-03-18","58","124"
"http://dbpedia.org/resource/Bernardino_Machado","http://dbpedia.org/resource/Bernardino_Machado__3","Prime Minister of Portugal","1921-03-02","1921-05-24","111","141"
"http://dbpedia.org/resource/Ignacy_Jan_Paderewski","http://dbpedia.org/resource/Ignacy_Jan_Paderewski__1","Prime Minister of Poland","1919-01-18","1919-11-27","349","164"
"http://dbpedia.org/resource/Kārlis_Ulmanis","http://dbpedia.org/resource/Kārlis_Ulmanis__1","Prime Minister of Latvia","1918-11-19","1921-06-18","140","165"
"http://dbpedia.org/resource/Michael_Patrick_Cashin","http://dbpedia.org/resource/Michael_Patrick_Cashin__1","Prime Minister of Newfoundland","1919-05-22","1919-11-17","29","43"
"http://dbpedia.org/resource/Muhammad_Tawfiq_Nasim_Pasha","http://dbpedia.org/resource/Muhammad_Tawfiq_Nasim_Pasha__1","Prime Minister of Egypt","1920-05-20","1921-03-16","46","43"
"http://dbpedia.org/resource/Pál_Teleki","http://dbpedia.org/resource/Pál_Teleki__1","Prime Minister of the Kingdom of Hungary","1920-07-19","1921-04-14","112","152"
"http://dbpedia.org/resource/William_F._Lloyd","http://dbpedia.org/resource/William_F._Lloyd__1","Prime Minister of Newfoundland","1918-01-05","1919-05-22","20","39"
"http://dbpedia.org/resource/Stojan_Protić","http://dbpedia.org/resource/Stojan_Protić__1","Prime Minister of Yugoslavia","1920-02-19","1920-05-16","25","54"
"http://dbpedia.org/resource/Mihály_Károlyi","http://dbpedia.org/resource/Mihály_Károlyi__1","Prime Minister of Hungary","1918-10-31","1919-01-11","143","139"
"http://dbpedia.org/resource/Simon_Vratsian","http://dbpedia.org/resource/Simon_Vratsian__1","Prime Minister of Armenia","1920-11-23","1920-12-02","28","71"
"http://dbpedia.org/resource/Hamo_Ohanjanyan","http://dbpedia.org/resource/Hamo_Ohanjanyan__1","Prime Minister of Armenia","1920-05-05","1920-11-23","24","42"
"http://dbpedia.org/resource/Léon_Delacroix","http://dbpedia.org/resource/Léon_Delacroix__1","Prime Minister of Belgium","1918-11-21","1920-11-20","23","47"
"http://dbpedia.org/resource/Robert_Borden","http://dbpedia.org/resource/Robert_Borden__1","Prime Minister of Canada","1911-10-10","1920-07-10","559","273"
"http://dbpedia.org/resource/Alexander_Khatisian","http://dbpedia.org/resource/Alexander_Khatisian__3","Prime Minister of Armenia","1919-05-28","1920-05-05","45","57"
"http://dbpedia.org/resource/Abd_Al-Rahman_Al-Gillani","http://dbpedia.org/resource/Abd_Al-Rahman_Al-Gillani__1","Prime Minister of Iraq","1920-11-11","1922-11-20","33","47"
"http://dbpedia.org/resource/Aimo_Cajander","http://dbpedia.org/resource/Aimo_Cajander__1","Prime Minister of Finland","1922-06-02","1922-11-14","48","54"
"http://dbpedia.org/resource/Albert_Hickman","http://dbpedia.org/resource/Albert_Hickman__1","Prime Minister of Newfoundland","1924-05-10","1924-06-09","21","38"
"http://dbpedia.org/resource/Saad_Zaghloul","http://dbpedia.org/resource/Saad_Zaghloul__1","Prime Minister of Egypt","1924-01-26","1924-11-24","115","87"
"http://dbpedia.org/resource/William_Warren","http://dbpedia.org/resource/William_Warren__1","Prime Minister of Newfoundland","1923-07-24","1924-05-07","38","48"
"http://dbpedia.org/resource/Fevzi_Çakmak","http://dbpedia.org/resource/Fevzi_Çakmak__1","Prime Minister of Turkey","1921-01-24","1922-07-12","124","235"
"http://dbpedia.org/resource/Rauf_Orbay","http://dbpedia.org/resource/Rauf_Orbay__1","Prime Minister of Turkey","1922-11-04","1923-08-04","60","71"
"http://dbpedia.org/resource/Sigurður_Eggerz","http://dbpedia.org/resource/Sigurður_Eggerz__1","Prime Minister of Iceland","1922-03-07","1924-03-22","30","42"
"http://dbpedia.org/resource/Abdel_Khaliq_Sarwat_Pasha","http://dbpedia.org/resource/Abdel_Khaliq_Sarwat_Pasha__2","Prime Minister of Egypt","1922-03-01","1922-11-30","29","31"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/resource/Henri_Carton_de_Wiart__1","Prime Minister of Belgium","1920-11-20","1921-12-16","17","47"
"http://dbpedia.org/resource/Zigfrīds_Anna_Meierovics","http://dbpedia.org/resource/Zigfrīds_Anna_Meierovics__1","Prime Minister of Latvia","1921-06-19","1923-01-26","33","88"
"http://dbpedia.org/resource/Rashid_Tali’a","http://dbpedia.org/resource/Rashid_Tali’a__1","Prime Minister of Jordan","1921-07-05","1921-08-05","4","24"
"http://dbpedia.org/resource/Rashid_Tali’a","http://dbpedia.org/resource/Rashid_Tali’a__2","Prime Minister of Jordan","1921-04-11","1921-06-23","4","24"
"http://dbpedia.org/resource/Antti_Tulenheimo","http://dbpedia.org/resource/Antti_Tulenheimo__1","Prime Minister of Finland","1925-03-31","1925-12-31","24","44"
"http://dbpedia.org/resource/Marģers_Skujenieks","http://dbpedia.org/resource/Marģers_Skujenieks__1","Prime Minister of Latvia","1926-12-19","1928-01-23","29","29"
"http://dbpedia.org/resource/Pēteris_Juraševskis","http://dbpedia.org/resource/Pēteris_Juraševskis__1","Prime Minister of Latvia","1928-01-24","1928-11-30","16","17"
"http://dbpedia.org/resource/Oskari_Mantere","http://dbpedia.org/resource/Oskari_Mantere__1","Prime Minister of Finland","1928-12-22","1929-08-16","21","34"
"http://dbpedia.org/resource/Lauri_Ingman","http://dbpedia.org/resource/Lauri_Ingman__2","Prime Minister of Finland","1924-05-31","1925-03-31","53","87"
"http://dbpedia.org/resource/Raymond_Poincaré","http://dbpedia.org/resource/Raymond_Poincaré__2","Prime Minister of France","1926-07-23","1929-07-29","295","195"
"http://dbpedia.org/resource/Väinö_Tanner","http://dbpedia.org/resource/Väinö_Tanner__1","Prime Minister of Finland","1926-12-13","1927-12-17","80","70"
"http://dbpedia.org/resource/Yasin_al-Hashimi","http://dbpedia.org/resource/Yasin_al-Hashimi__2","Prime Minister of Iraq","1924-08-02","1925-06-26","47","53"
"http://dbpedia.org/resource/Alexandros_Zaimis","http://dbpedia.org/resource/Alexandros_Zaimis__1","Prime Minister of Greece","1926-12-04","1928-07-04","102","131"
"http://dbpedia.org/resource/Walter_Stanley_Monroe","http://dbpedia.org/resource/Walter_Stanley_Monroe__1","Prime Minister of Newfoundland","1924-06-09","1928-08-15","27","42"
"http://dbpedia.org/resource/Ivar_Lykke_(politician)","http://dbpedia.org/resource/Ivar_Lykke_(politician)__1","Prime Minister of Norway","1926-03-05","1928-01-28","31","20"
"http://dbpedia.org/resource/Jón_Magnússon_(politician)","http://dbpedia.org/resource/Jón_Magnússon_(politician)__1","Prime Minister of Iceland","1924-03-22","1926-06-23","35","38"
"http://dbpedia.org/resource/Jón_Þorláksson","http://dbpedia.org/resource/Jón_Þorláksson__1","Prime Minister of Iceland","1926-07-08","1927-08-28","28","50"
"http://dbpedia.org/resource/Magnús_Guðmundsson_(politician)","http://dbpedia.org/resource/Magnús_Guðmundsson_(politician)__1","Prime Minister of Iceland","1926-06-23","1926-07-08","22","35"
"http://dbpedia.org/resource/Theodoros_Pangalos_(general)","http://dbpedia.org/resource/Theodoros_Pangalos_(general)__1","Prime Minister of Greece","1925-06-25","1926-07-19","65","120"
"http://dbpedia.org/resource/Aloys_Van_de_Vyvere","http://dbpedia.org/resource/Aloys_Van_de_Vyvere__1","Prime Minister of Belgium","1925-05-13","1925-06-17","21","50"
"http://dbpedia.org/resource/Prosper_Poullet","http://dbpedia.org/resource/Prosper_Poullet__1","Prime Minister of Belgium","1925-06-17","1926-05-20","20","58"
"http://dbpedia.org/resource/Arthur_Meighen","http://dbpedia.org/resource/Arthur_Meighen__1","Prime Minister of Canada","1926-06-29","1926-09-25","293","238"
"http://dbpedia.org/resource/Abdel_Khaliq_Sarwat_Pasha","http://dbpedia.org/resource/Abdel_Khaliq_Sarwat_Pasha__1","Prime Minister of Egypt","1927-04-26","1928-03-16","29","31"
"http://dbpedia.org/resource/Johan_Ludwig_Mowinckel","http://dbpedia.org/resource/Johan_Ludwig_Mowinckel__1","Prime Minister of Norway","1924-07-25","1926-03-05","79","69"
"http://dbpedia.org/resource/Nikola_Pašić","http://dbpedia.org/resource/Nikola_Pašić__1","Prime Minister of Yugoslavia","1924-11-06","1926-04-08","154","236"
"http://dbpedia.org/resource/Pierre_Prüm","http://dbpedia.org/resource/Pierre_Prüm__1","Prime Minister of Luxembourg","1925-03-20","1926-07-16","27","98"
"http://dbpedia.org/resource/Émile_Reuter","http://dbpedia.org/resource/Émile_Reuter__1","Prime Minister of Luxembourg","1918-09-28","1925-03-20","53","77"
"http://dbpedia.org/resource/António_Maria_da_Silva","http://dbpedia.org/resource/António_Maria_da_Silva__1","Prime Minister of Portugal","1925-12-18","1926-05-29","81","119"
"http://dbpedia.org/resource/Fethi_Okyar","http://dbpedia.org/resource/Fethi_Okyar__1","Prime Minister of Turkey","1924-11-22","1925-03-03","67","76"
"http://dbpedia.org/resource/Juho_Sunila","http://dbpedia.org/resource/Juho_Sunila__1","Prime Minister of Finland","1931-03-21","1932-12-14","41","68"
"http://dbpedia.org/resource/Miguel_Primo_de_Rivera","http://dbpedia.org/resource/Miguel_Primo_de_Rivera__1","Prime Minister of Spain","1923-09-15","1930-01-28","255","157"
"http://dbpedia.org/resource/Naji_Shawkat","http://dbpedia.org/resource/Naji_Shawkat__1","Prime Minister of Iraq","1932-11-03","1933-03-20","21","34"
"http://dbpedia.org/resource/Osachi_Hamaguchi","http://dbpedia.org/resource/Osachi_Hamaguchi__1","Prime Minister of Japan","1931-03-10","1931-04-14","76","110"
"http://dbpedia.org/resource/Naji_al-Suwaydi","http://dbpedia.org/resource/Naji_al-Suwaydi__1","Prime Minister of Iraq","1929-11-18","1930-03-23","-1","-1"
"http://dbpedia.org/resource/Henri_Jaspar","http://dbpedia.org/resource/Henri_Jaspar__1","Prime Minister of Belgium","1926-05-20","1931-06-06","24","47"
"http://dbpedia.org/resource/Jules_Renkin","http://dbpedia.org/resource/Jules_Renkin__1","Prime Minister of Belgium","1931-06-06","1932-10-22","14","39"
"http://dbpedia.org/resource/Kazimierz_Świtalski","http://dbpedia.org/resource/Kazimierz_Świtalski__1","Prime Minister of Poland","1929-04-14","1929-12-29","27","92"
"http://dbpedia.org/resource/Johan_Ludwig_Mowinckel","http://dbpedia.org/resource/Johan_Ludwig_Mowinckel__2","Prime Minister of Norway","1928-02-15","1931-05-21","79","69"
"http://dbpedia.org/resource/Peder_Kolstad","http://dbpedia.org/resource/Peder_Kolstad__1","Prime Minister of Norway","1931-05-21","1932-03-05","29","42"
"http://dbpedia.org/resource/Georges_Theunis","http://dbpedia.org/resource/Georges_Theunis__1","Prime Minister of Belgium","1934-11-20","1935-03-25","35","74"
